file,category,distance,block,trial,response,confidence,responseTime,reactionTime,correct
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\FarBody\F_N676063.jpg,Animall,FarBody,1,34,Animall,4,1.5835894648917,1.70242630923167,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\FarBody\F_N825005.jpg,Animall,FarBody,1,35,Animall,2,1.29395453305915,1.41203167452477,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\CloseBody\Bdn_text64.jpg,NonAnimall,CloseBody,1,36,NonAnimall,2,1.71989750512876,1.84044417529367,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\CloseBody\Bdn_for82.jpg,NonAnimall,CloseBody,1,37,NonAnimall,2,2.02010349021293,2.14250339358114,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\MediumBody\M_N110047.jpg,Animall,MediumBody,1,38,Animall,3,1.33375776093453,1.45320497523062,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\Head\H_N247023.jpg,Animall,Head,1,39,Animall,4,1.06665752758272,1.18592854426242,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\FarBody\Fdn_natu79.jpg,NonAnimall,FarBody,1,40,Animall,4,1.18605377874337,1.30469585815445,0
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\CloseBody\B_N427054.jpg,Animall,CloseBody,1,41,NonAnimall,3,2.11058598663658,2.22829177044332,0
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\FarBody\F_N314040.jpg,Animall,FarBody,1,42,Animall,3,1.86999358423054,1.99003260047175,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\Head\Hdn_objn65.jpg,NonAnimall,Head,1,43,Animall,3,1.69804626330733,1.81631382415071,0
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\MediumBody\Mdn_N344026.jpg,NonAnimall,MediumBody,1,44,Animall,3,1.11981146084145,1.23965136613697,0
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\Head\Hdn_N152028.jpg,NonAnimall,Head,1,45,NonAnimall,2,1.67771798325703,1.79610011167824,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\FarBody\Fdn_sclos4.jpg,NonAnimall,FarBody,1,46,NonAnimall,2,1.96987261646427,2.09361651865765,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\MediumBody\Mdn_N344039.jpg,NonAnimall,MediumBody,1,47,Animall,3,1.68297783075832,1.80275887181051,0
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\CloseBody\Bdn_text2.jpg,NonAnimall,CloseBody,1,48,NonAnimall,3,1.75386686110869,1.87823535548523,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\CloseBody\B_N707011.jpg,Animall,CloseBody,1,49,Animall,2,1.52848432329483,1.64686803217046,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\Head\Hdn_objn56.jpg,NonAnimall,Head,1,50,Animall,3,1.45284388912842,1.57122799311765,0
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\Head\H_N707064.jpg,Animall,Head,1,51,Animall,4,1.13815692788921,0.97573809325695,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\FarBody\Fdn_land83.jpg,NonAnimall,FarBody,1,52,NonAnimall,3,1.69782265857793,1.81648172531277,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\CloseBody\Bdn_land861.jpg,NonAnimall,CloseBody,1,53,Animall,1,1.90283108921722,2.02343109250069,0
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\Head\Hdn_objn38.jpg,NonAnimall,Head,1,54,Animall,1,3.00286063970998,3.12472721002996,0
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\MediumBody\M_N112018.jpg,Animall,MediumBody,1,55,Animall,4,1.26846714597195,1.39284235611558,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\CloseBody\Bdn_natu419.jpg,NonAnimall,CloseBody,1,56,Animall,2,1.94371915562078,2.06185871665366,0
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\MediumBody\M_N109073.jpg,Animall,MediumBody,1,57,NonAnimall,3,1.54770327103324,1.66572826425545,0
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\MediumBody\Mdn_N328009.jpg,NonAnimall,MediumBody,1,58,NonAnimall,3,1.45245040790178,1.56988557428122,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\MediumBody\M_N289096.jpg,Animall,MediumBody,1,59,Animall,5,0.953244481468573,1.07474561990239,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\CloseBody\B_N771064.jpg,Animall,CloseBody,1,60,Animall,5,0.737109146080911,0.859241197584197,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\MediumBody\M_N289028.jpg,Animall,MediumBody,1,61,Animall,5,0.653034940827638,0.774603634839877,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\FarBody\F_N802091.jpg,Animall,FarBody,1,62,Animall,5,0.685307902982458,0.804266426479444,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\FarBody\F_N828004.jpg,Animall,FarBody,1,63,Animall,4,0.98670223262161,1.1092735924758,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\CloseBody\Bdn_nat1164.jpg,NonAnimall,CloseBody,1,64,NonAnimall,2,1.84755765134469,1.96569484192878,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\MediumBody\M_N802029.jpg,Animall,MediumBody,1,65,Animall,1,2.08457198250107,2.20251914858818,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\Head\Hdn_objn46.jpg,NonAnimall,Head,1,66,Animall,5,1.06808567466214,1.18601624807343,0
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\MediumBody\Mdn_for135.jpg,NonAnimall,MediumBody,1,67,Animall,5,1.04523137165233,0.863292947411537,0
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\CloseBody\B_N326017.jpg,Animall,CloseBody,1,68,Animall,5,0.683160349261016,0.802247267216444,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\CloseBody\B_N825047.jpg,Animall,CloseBody,1,69,Animall,5,0.720197357004508,0.840480125974864,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\CloseBody\Bdn_text18.jpg,NonAnimall,CloseBody,1,70,NonAnimall,3,1.04590534651652,1.1641638209112,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\FarBody\F_N485007.jpg,Animall,FarBody,1,71,Animall,2,1.49442054750398,1.61290499707684,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\FarBody\Fda_urb794.jpg,NonAnimall,FarBody,1,72,NonAnimall,5,1.53590634185821,1.65448481612839,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\CloseBody\Bdn_natu350.jpg,NonAnimall,CloseBody,1,73,Animall,1,1.25366261438467,1.37443565484136,0
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\CloseBody\Bdn_nat216.jpg,NonAnimall,CloseBody,1,74,NonAnimall,2,2.45270522264764,2.57581149577163,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\CloseBody\Bdn_text17.jpg,NonAnimall,CloseBody,1,75,Animall,2,1.86982449796051,1.98945857631043,0
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\Head\H_N247096.jpg,Animall,Head,1,76,Animall,4,1.46459341072477,1.59294056845829,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\MediumBody\Mdn_natu462.jpg,NonAnimall,MediumBody,1,77,NonAnimall,1,2.31659352756105,2.43538928544149,1
